cluster_id,name,st_mean,st_median,st_rank,fa_mean,fa_median,fr_mean,fr_median,fo_mean,fo_median,count,clusterid,male,mostly_male,female,mostly_female,male_ratio_strict,male_ratio_loose,ideo_shift,negs_shift,0.8,0.85,0.9,0.95
47,,368.4769874,5,2,72.29707113,2,118.0251046,78,49.36820084,6,239,47,13,2,25,5,0.342105263,0.333333333,0.158676138,0.166436767,0.082706767,0.067669173,0.045112782,0.007518797
48,,239.9700855,11,9,512.2606838,7,151.2991453,91,81.17094017,8,234,48,31,3,41,10,0.430555556,0.4,0.090876715,0.137497653,0.090225564,0.060150376,0.037593985,0
49,,134.9003559,7,4,173.1174377,2,163.3523132,85,68.01423488,6,281,49,34,4,29,6,0.53968254,0.520547945,0.128449938,0.170317507,0.067669173,0.060150376,0.037593985,0.022556391
50,,601.5273632,7.5,5,208.5572139,4,172.5298507,105,51.08208955,13,402,50,54,4,36,8,0.6,0.568627451,0.128874159,0.146421929,0.105263158,0.090225564,0.060150376,0.022556391
51,,249.4880383,12,11,127.8421053,1,180.2966507,55,44.42583732,8,209,51,25,2,18,8,0.581395349,0.509433962,0.129707727,0.149877083,0.120300752,0.052631579,0.045112782,0.022556391
52,"Local Mix [Events, Self Help, Sports]",447.9212963,8,6,627.2986111,3,144.5949074,87,71.78472222,6,432,52,25,5,63,13,0.284090909,0.283018868,0.121100575,0.140684844,0.127819549,0.090225564,0.037593985,0.022556391
53,,2432.710372,222,29,1502.67319,72,495.2524462,258,545.5479452,76,511,53,88,6,98,30,0.47311828,0.423423423,0.061713712,0.113610115,0.082706767,0.060150376,0.037593985,0.015037594
54,Travel,5400.952174,1204,100,2843.326087,384.5,542.5652174,396,802.4173913,120,230,54,21,5,51,10,0.291666667,0.298850575,0.100286098,0.142472867,0.097744361,0.060150376,0.052631579,0.022556391
55,,10789.14634,714,75,1986.57561,211,434.2097561,302,893.7073171,145,205,55,43,7,23,8,0.651515152,0.617283951,0.080187949,0.122031016,0.097744361,0.07518797,0.045112782,0.015037594
56,,7913.724299,2749.5,129,4442.957944,364,489.0233645,334,610.2570093,161,214,56,19,5,66,13,0.223529412,0.233009709,0.145402153,0.153319966,0.165413534,0.120300752,0.090225564,0.037593985
57,,2430.979853,434,49,2101.40293,87.5,352.2271062,230,1087.485348,93.5,546,57,55,23,218,51,0.201465201,0.224783862,0.068873354,0.111816858,0.105263158,0.090225564,0.037593985,0.007518797
